"Identifiant unique",Identifiant,Espèce,"Numéro nomenclatural","Nom retenu","Numéro nomenclatural nom retenu",Famille,"Référentiel taxonomique",Certitude,"Type d'observation","Source de la saisie",Spontanéité,Latitude,Longitude,"Référentiel Géographique",Pays,Commune,"Identifiant Commune","Floutage (niveau de localisation diffusé)",Altitude,Lieu-dit,Milieu,Date,Notes,"Programme de sciences participatives ou observatoire citoyen","Mots Clés","Lien vers l'observation sur IdentiPlante",Image(s),Auteur
urn:lsid:tela-botanica.org:cel:3753876,3753876,"Chelidonium majus L. [1753]",16703,"Chelidonium majus L.",16703,Papaveraceae,bdtfx,certain,"observation de terrain",CEL,1,45.79624,4.83163,WGS84,France,Lyon,69034,précise,296,,,2021/04/23,"Île Barbe",,,,,"Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3753887,3753887,"Crataegus monogyna Jacq. [1775]",19472,"Crataegus monogyna Jacq.",19472,Rosaceae,bdtfx,certain,"observation de terrain",CEL,1,45.79624,4.83163,WGS84,France,Lyon,69034,précise,296,,,2021/04/23,"Île Barbe",,,,,"Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3753921,3753921,"Bryonia cretica subsp. dioica (Jacq.) Tutin [1968]",11288,"Bryonia dioica Jacq. [1774]",11290,Cucurbitaceae,bdtfx,certain,"observation de terrain",widget,1,45.66770,4.62803,WGS84,FR,Rontalon,69170,précise,521,,Champ,2021/04/23,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3753923,3753923,"Castanea sativa Mill. [1768]",14752,"Castanea sativa Mill. [1768]",14752,Fagaceae,bdtfx,certain,"observation de terrain",widget,1,45.66614,4.63142,WGS84,FR,Rontalon,69170,précise,463,,Champ,2021/04/23,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3753924,3753924,"Lonicera caerulea L. [1753]",39866,"Lonicera caerulea L. [1753]",39866,Caprifoliaceae,bdtfx,certain,"observation de terrain",widget,1,45.66614,4.63142,WGS84,FR,Rontalon,69170,précise,463,,Champ,2021/04/23,,,"Bota10km, Rural10km, Projets coopératifs, ",www.tela-botanica.org/appli:identiplante#obs~3753924,"https://api.tela-botanica.org/img:002475099O,","Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3753925,3753925,"Asplenium trichomanes L. [1753]",7728,"Asplenium trichomanes L. [1753]",7728,Aspleniaceae,bdtfx,certain,"observation de terrain",widget,1,45.66614,4.63142,WGS84,FR,Rontalon,69170,précise,463,,Champ,2021/04/23,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3753926,3753926,"Polypodium vulgare L. [1753]",51834,"Polypodium vulgare L. [1753]",51834,Polypodiaceae,bdtfx,certain,"observation de terrain",widget,1,45.66614,4.63142,WGS84,FR,Rontalon,69170,précise,463,,Champ,2021/04/23,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3753928,3753928,"Euonymus europaeus L. [1753]",26384,"Euonymus europaeus L. [1753]",26384,Celastraceae,bdtfx,certain,"observation de terrain",widget,1,45.66524,4.63125,WGS84,FR,Rontalon,69170,précise,458,,"Bois ",2021/04/23,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3753929,3753929,"Eschscholzia californica Cham. [1820]",25658,"Eschscholzia californica Cham. [1820]",25658,Papaveraceae,bdtfx,certain,"observation de terrain",widget,1,45.66524,4.63125,WGS84,FR,Rontalon,69170,précise,458,,Champ,2021/04/23,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3753930,3753930,"Lycopsis arvensis L. [1753]",40520,"Lycopsis arvensis L. [1753]",40520,Boraginaceae,bdtfx,certain,"observation de terrain",widget,1,45.66495,4.63133,WGS84,FR,Rontalon,69170,précise,448,,Champ,2021/04/23,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3753932,3753932,"Vicia sativa L. [1753]",71760,"Vicia sativa L. [1753]",71760,Fabaceae,bdtfx,certain,"observation de terrain",widget,1,45.66428,4.63147,WGS84,FR,Rontalon,69170,précise,448,,Champ,2021/04/24,,,"Bota10km, Rural10km, Projets coopératifs, ",www.tela-botanica.org/appli:identiplante#obs~3753932,"https://api.tela-botanica.org/img:002475108O,","Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
